variant,rung,k,lossMax,lossTarget,days,total,avgDaily,median,worst,best,daysUnder1k,daysUnder2k,daysUnder5k,negDays,winRate,maxDD,ddSpanDays,retDD,opens,coverFillRate,coverPending,worstHeldFloor,capExceeded,opensBlocked,offsets
v0-20,current/generic,3.5,7000,5000,765,1522663,1990,1675,-6040,12339,124,70,5,209,73,-12582,6,121,18.32,55.6,3347,-6840,0,7,31
v0-20,3.25,3.25,6500,4550,765,1531771,2002,1712,-6425,12339,123,71,6,208,73,-12776,6,119.9,18.33,55.6,3345,-6425,0,11,47
v0-20,2.25,2.25,4500,3150,765,1515794,1981,1634,-4500,12339,118,68,0,208,73,-12893,6,117.6,18.23,55.3,3302,-4500,0,136,148
v1-20,current/generic,3.5,7000,5000,765,1429765,1869,1539,-5705,13884,131,74,3,209,73,-13899,10,102.9,16.18,65,3095,-6740,0,6,19
v1-20,3.25,3.25,6500,4550,765,1426270,1864,1539,-5705,13884,132,75,3,211,72,-14827,10,96.2,16.19,64.9,3095,-6485,0,12,32
v1-20,2.25,2.25,4500,3150,765,1409810,1843,1515,-4490,13884,135,75,0,216,72,-14704,10,95.9,16.01,64.8,3034,-4500,0,185,108
v2-20,current/generic,3.5,7000,5000,765,1444594,1888,1529,-6789,14051,148,87,7,234,69,-13876,6,104.1,18.78,50.4,3900,-6935,0,8,57
v2-20,3.25,3.25,6500,4550,765,1453270,1900,1534,-5784,14051,147,84,7,232,70,-13876,6,104.7,18.79,50.4,3893,-6443,0,16,83
v2-20,2.25,2.25,4500,3150,765,1448420,1893,1575,-4496,14051,148,80,0,236,69,-12253,11,118.2,18.63,50,3814,-4499,0,217,266
v3-20,current/generic,3.5,7000,5000,765,1518684,1985,1769,-6550,12515,104,53,3,195,74,-16091,8,94.4,16.06,67.9,2519,-6765,0,2,10
v3-20,3.25,3.25,6500,4550,765,1543448,2018,1811,-6285,12515,102,53,3,186,76,-12883,7,119.8,16.08,68.2,2498,-6285,0,5,19
v3-20,2.25,2.25,4500,3150,765,1501980,1963,1760,-4455,13640,103,57,0,190,75,-9578,7,156.8,15.99,68.6,2420,-4495,0,113,61
v4-20,current/generic,3.5,7000,5000,765,1632587,2134,2093,-7000,20831,224,184,105,273,64,-45614,20,35.8,17.8,59.5,3346,-7000,0,1111,207
v4-20,3.25,3.25,6500,4550,765,1562439,2042,1990,-6500,19537,241,194,106,283,63,-45151,20,34.6,17.45,59.5,3272,-6500,0,1340,208
v4-20,2.25,2.25,4500,3150,765,1392152,1820,1361,-4495,18869,263,219,0,302,60,-38909,20,35.8,15.62,59.2,2881,-4500,0,2618,250
v5-20,current/generic,3.5,7000,5000,765,2040854,2668,2445,-6995,22781,166,120,37,213,72,-25551,27,79.9,20.75,69.6,3661,-6995,0,216,62
v5-20,3.25,3.25,6500,4550,765,2030851,2655,2414,-6500,22781,165,122,40,217,72,-27797,19,73.1,20.65,69.6,3628,-6500,0,305,82
