variant,rung,k,lossMax,lossTarget,days,total,avgDaily,median,worst,best,daysUnder1k,daysUnder2k,daysUnder5k,negDays,winRate,maxDD,ddSpanDays,retDD,opens,coverFillRate,coverPending,worstHeldFloor,capExceeded,opensBlocked,offsets
v0-10,current/generic,6,6000,5000,765,989027,1293,1185,-2180,9482,23,2,0,123,84,-2830,2,349.5,13.86,83.1,1092,-2843,0,0,0
v0-10,3.5,3.5,3500,2450,765,988414,1292,1185,-2180,9482,23,2,0,123,84,-2830,2,349.3,13.87,83,1092,-2843,0,0,3
v0-10,2.5,2.5,2500,1750,765,987054,1290,1183,-2180,9482,23,2,0,122,84,-2830,2,348.8,13.87,83,1092,-2373,0,5,18
v1-10,current/generic,6,6000,5000,765,1075490,1406,1385,-4455,8934,66,20,0,178,77,-6755,3,159.2,13.63,61.1,3543,-4680,0,0,0
v1-10,3.5,3.5,3500,2450,765,1079179,1411,1395,-3255,8934,70,18,0,179,76,-6755,3,159.8,13.62,61,3523,-3500,0,34,44
v1-10,2.5,2.5,2500,1750,765,1061084,1387,1345,-2500,8934,71,16,0,182,76,-6384,3,166.2,13.28,61,3422,-2500,0,293,74
v2-10,current/generic,6,6000,5000,765,1020030,1333,1252,-4642,8445,88,22,0,206,73,-6106,7,167,16.04,47.7,4057,-4719,0,0,1
v2-10,3.5,3.5,3500,2450,765,1031879,1349,1245,-3261,8445,85,23,0,207,73,-5157,7,200.1,16.12,47.4,4049,-3490,0,11,111
v2-10,2.5,2.5,2500,1750,765,1035553,1354,1261,-2500,8870,83,21,0,212,72,-5078,5,203.9,15.96,47.2,3972,-2500,0,179,239
v3-10,generic,6,6000,5000,765,946676,1237,1115,-2880,9073,36,4,0,145,81,-3355,3,282.2,13.29,79.8,1536,-3785,0,0,0
v3-10,3.5,3.5,3500,2450,765,970988,1269,1175,-2885,9275,31,2,0,138,82,-2990,4,324.7,13.2,81,1496,-3465,0,0,0
v3-10,2.5,2.5,2500,1750,765,981813,1283,1165,-2140,9295,31,2,0,133,82,-3295,5,298,13.18,81.3,1488,-2485,0,13,1
v3-10,current,1,1000,700,765,807935,1056,885,-995,9300,0,0,0,204,73,-3505,9,230.5,10.63,81.9,1194,-1000,0,2003,2
v4-10,current/generic,6,6000,5000,765,1122260,1467,1385,-5990,9128,46,9,1,124,84,-7295,4,153.8,15.25,86.4,1200,-5990,0,6,0
v4-10,3.5,3.5,3500,2450,765,1122155,1467,1390,-3497,9128,46,14,0,124,84,-7235,4,155.1,15.18,86.5,1181,-3497,0,67,15
v4-10,2.5,2.5,2500,1750,765,1083466,1416,1367,-2475,9128,57,23,0,138,82,-5065,4,213.9,14.83,86.7,1145,-2490,0,306,26
v5-10,current/generic,6,6000,5000,765,1325437,1733,1735,-3370,9430,45,21,0,113,85,-7745,4,171.1,17.11,84.1,1865,-5220,0,0,0
v5-10,3.5,3.5,3500,2450,765,1324296,1731,1735,-3465,9430,46,22,0,112,85,-7880,4,168.1,17.09,84.2,1855,-3470,0,22,0
v5-10,2.5,2.5,2500,1750,765,1316502,1721,1717,-2490,9430,49,21,0,116,85,-7150,4,184.1,16.9,84.3,1817,-2500,0,188,3
v6-10,current/generic,6,6000,5000,765,1813976,2371,2274,-5987,15035,111,69,10,179,76,-16913,5,107.3,26.62,51.6,7046,-5995,0,24,22
v6-10,3.5,3.5,3500,2450,765,1793903,2345,2282,-3499,15035,117,77,0,180,76,-13004,5,137.9,25.85,51.3,6801,-3599,0,522,228
v6-10,2.5,2.5,2500,1750,765,1684240,2202,2092,-2500,15035,130,84,0,205,73,-10038,5,167.8,24.24,51.3,6414,-2646,0,1334,313
v7-10,generic,6,6000,5000,765,2414644,3156,2905,-5521,15893,42,23,1,75,90,-6986,3,345.7,34.72,87.1,2828,-6000,0,47,6
v7-10,3.5,3.5,3500,2450,765,2378230,3109,2860,-3400,15893,39,15,0,77,90,-6756,3,352,33.89,87.3,2700,-3495,0,693,8
v7-10,2.5,2.5,2500,1750,765,2277547,2977,2785,-2500,15043,42,19,0,92,88,-3480,3,654.5,32.53,87.6,2543,-2500,0,1724,16
v7-10,current,1,1000,700,765,1744116,2280,1800,-1000,12970,1,0,0,134,82,-2155,3,809.3,24.27,87.8,1883,-1000,0,8098,6
v8-10,current/generic,6,6000,5000,765,1505981,1969,1770,-5800,10135,45,10,2,110,85,-6330,3,237.9,22.74,86,1860,-5800,0,4,0
v8-10,3.5,3.5,3500,2450,765,1506520,1969,1752,-3495,10135,46,11,0,111,85,-4408,4,341.7,22.71,86,1849,-3495,0,32,15
v8-10,2.5,2.5,2500,1750,765,1499610,1960,1744,-2470,10135,45,14,0,110,85,-4600,4,326,22.57,86,1835,-2533,0,188,45
v9-10,current/generic,6,6000,5000,765,2698716,3528,3333,-5865,16724,67,43,3,109,86,-8051,3,335.2,37,82.9,4221,-5995,0,204,6
v9-10,3.5,3.5,3500,2450,765,2580151,3373,3100,-3495,16724,72,44,0,118,84,-5751,3,448.6,34.91,83.2,3899,-3500,0,1751,19
v9-10,2.5,2.5,2500,1750,765,2448636,3201,2935,-2495,15360,58,28,0,122,84,-4045,2,605.3,32.47,83.4,3576,-2577,0,3665,29
